IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
18.135.67.188,443,true,LHR,Europe,London,180 ms,9781 kB/s
204.110.220.18,80,true,SJC,North America,San Jose,174 ms,9657 kB/s
35.167.93.200,443,true,PDX,North America,Portland,203 ms,6960 kB/s
50.112.166.63,443,true,PDX,North America,Portland,204 ms,6677 kB/s
204.110.221.35,80,true,YUL,North America,Montréal,253 ms,5695 kB/s
44.226.147.29,443,true,PDX,North America,Portland,210 ms,5395 kB/s
204.110.223.219,80,true,CMH,North America,Columbus,280 ms,4490 kB/s
204.110.220.87,80,true,SJC,North America,San Jose,176 ms,4478 kB/s
3.99.106.179,443,true,YUL,North America,Montréal,251 ms,4454 kB/s
3.98.73.243,443,true,YUL,North America,Montréal,255 ms,4168 kB/s
44.227.22.10,443,true,PDX,North America,Portland,211 ms,3994 kB/s
204.110.220.59,80,true,SJC,North America,San Jose,181 ms,3633 kB/s
3.111.155.29,443,true,BOM,Asia Pacific,Mumbai,225 ms,1835 kB/s
204.110.221.138,80,true,YUL,North America,Montréal,256 ms,1770 kB/s
18.189.94.250,443,true,CMH,North America,Columbus,238 ms,1666 kB/s
13.229.159.215,443,true,SIN,Asia Pacific,Singapore,114 ms,922 kB/s
3.7.108.69,443,true,BOM,Asia Pacific,Mumbai,246 ms,263 kB/s
13.233.5.49,443,true,BOM,Asia Pacific,Mumbai,229 ms,78 kB/s
204.110.223.6,80,true,CMH,North America,Columbus,239 ms,0 kB/s
13.40.128.14,8443,true,LHR,Europe,London,193 ms,0 kB/s
