IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
192.9.137.193,8443,true,SJC,North America,San Jose,171 ms,7054 kB/s
152.70.155.147,2087,true,LAX,North America,Los Angeles,268 ms,5612 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,245 ms,5439 kB/s
84.235.165.75,443,true,FRA,Europe,Frankfurt,252 ms,4222 kB/s
129.80.123.71,443,true,IAD,North America,Ashburn,233 ms,4092 kB/s
129.213.136.180,443,true,IAD,North America,Ashburn,232 ms,3835 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,290 ms,3760 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,254 ms,3704 kB/s
141.145.205.115,8443,true,CDG,Europe,Paris,271 ms,3634 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,245 ms,3548 kB/s
141.147.85.167,8443,true,LHR,Europe,London,293 ms,3311 kB/s
152.70.59.90,8443,true,AMS,Europe,Amsterdam,291 ms,3039 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,251 ms,3026 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,343 ms,2847 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,255 ms,2802 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,297 ms,2604 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,294 ms,2273 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,249 ms,2264 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,252 ms,2197 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,236 ms,2144 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,270 ms,2014 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,237 ms,1820 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,290 ms,1424 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,363 ms,1363 kB/s
132.226.163.224,2053,true,GRU,South America,São Paulo,353 ms,1317 kB/s
168.138.141.235,2053,true,GRU,South America,São Paulo,362 ms,1235 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,247 ms,1059 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,296 ms,666 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,255 ms,643 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,348 ms,620 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,321 ms,451 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,245 ms,374 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,354 ms,230 kB/s
132.145.127.203,2053,true,NRT,Asia Pacific,Tokyo,140 ms,30 kB/s
150.136.87.192,443,true,IAD,North America,Ashburn,234 ms,0 kB/s
158.101.24.17,443,true,LAX,North America,Los Angeles,259 ms,0 kB/s
217.142.243.226,443,true,KIX,Asia Pacific,Osaka,212 ms,0 kB/s
